2024-08-02T04;45;00+02;0;2,3124;89
2024-08-02T05;0;00+02;0;2,4871;0,08824
2024-08-02T05;15;00+02;0;2,1983;0,08824
2024-08-02T05;30;00+02;0;2,6032;0,08824
2024-08-02T05;45;00+02;0;2,7541;0,08824
2024-08-02T06;0;00+02;0;2,9823;0,0901
2024-08-02T06;15;00+02;0;3,1045;0,0901
2024-08-02T06;30;00+02;0;2,8742;0,0901
2024-08-02T06;45;00+02;0;3,2156;0,0901
2024-08-02T07;0;00+02;0;3,0345;0,11105
2024-08-02T07;15;00+02;0;2,8457;0,11105
2024-08-02T07;30;00+02;0;3,1923;0,11105
2024-08-02T07;45;00+02;0;2,9634;0,11105
2024-08-02T08;0;00+02;0;2,7345;0,10595
2024-08-02T08;15;00+02;0;2,9842;0,10595
2024-08-02T08;30;00+02;0;2,6431;0,10595
2024-08-02T08;45;00+02;0;2,8123;0,10595
2024-08-02T09;0;00+02;0;2,5214;0,0901
2024-08-02T09;15;00+02;0;2,3987;0,0901
2024-08-02T09;30;00+02;0;2,9732;0,0901
2024-08-02T09;45;00+02;0;2,7345;0,0901
2024-08-02T10;0;00+02;0;3,0456;0,07695
2024-08-02T10;15;00+02;0;2,8123;0,07695
2024-08-02T10;30;00+02;0;3,1234;0,07695
2024-08-02T10;45;00+02;0;2,9345;0,07695
