2024-08-02T11;0;00+02;0;2;9345;0;12
2024-08-02T11;15;00+02;0;2;7456;0;11
2024-08-02T11;30;00+02;0;3;1234;0;13
2024-08-02T11;45;00+02;0;2;8567;0;14
2024-08-02T12;0;00+02;0;2;9341;0;15
2024-08-02T12;15;00+02;0;2;7432;0;16
2024-08-02T12;30;00+02;0;3;456;0;17
2024-08-02T12;45;00+02;0;2;8123;0;18
2024-08-02T13;0;00+02;0;2;9345;0;19
2024-08-02T13;15;00+02;0;2;7456;0;2
2024-08-02T13;30;00+02;0;3;1234;0;21
2024-08-02T13;45;00+02;0;2;8567;0;22
2024-08-02T14;0;00+02;0;2;9341;0;23
2024-08-02T14;15;00+02;0;2;7432;0;24
2024-08-02T14;30;00+02;0;3;456;0;25
2024-08-02T14;45;00+02;0;2;8123;0;26
2024-08-02T15;0;00+02;0;2;9345;0;27
2024-08-02T15;15;00+02;0;2;7456;0;28
2024-08-02T15;30;00+02;0;3;1234;0;29
2024-08-02T15;45;00+02;0;2;8567;0;3
