Časovna Značka (CEST/CET);Poraba [kWh];Dinamične Cene [EUR/kWh]
2024-07-01T00:00:00+02:00;6,476;0,09235
2024-07-01T00:15:00+02:00;7,852;0,09235
2024-07-01T00:30:00+02:00;6,426;0,09235
2024-07-01T00:45:00+02:00;5,951;0,09235
2024-07-01T01:00:00+02:00;7,3175;0,08277
2024-07-01T01:15:00+02:00;6,7405;0,08277
2024-07-01T01:30:00+02:00;6,53;0,08277
2024-07-01T01:45:00+02:00;7,489;0,08277
2024-07-01T02:00:00+02:00;7,14;0,07588
2024-07-01T02:15:00+02:00;6,563;0,07588
2024-07-01T02:30:00+02:00;6,7405;0,07588
2024-07-01T02:45:00+02:00;7,898;0,07588
2024-07-01T03:00:00+02:00;6,564;0,07536
2024-07-01T03:15:00+02:00;6,26;0,07536
2024-07-01T03:30:00+02:00;8,225;0,07536
2024-07-01T03:45:00+02:00;6,464;0,07536
2024-07-01T04:00:00+02:00;6,458;0,07392
2024-07-01T04:15:00+02:00;7,2935;0,07392
2024-07-01T04:30:00+02:00;7,326;0,07392
2024-07-01T04:45:00+02:00;6,917;0,07392
2024-07-01T05:00:00+02:00;6,2765;0,08397
2024-07-01T05:15:00+02:00;7,3215;0,08397
2024-07-01T05:30:00+02:00;6,0045;0,08397
2024-07-01T05:45:00+02:00;6,2695;0,08397
2024-07-01T06:00:00+02:00;7,2425;0,16249
2024-07-01T06:15:00+02:00;8,1305;0,16249
2024-07-01T06:30:00+02:00;6,7315;0,16249
2024-07-01T06:45:00+02:00;8,99;0,16249
2024-07-01T07:00:00+02:00;11,0175;0,16806
2024-07-01T07:15:00+02:00;9,2545;0,16806
2024-07-01T07:30:00+02:00;13,218;0,16806
2024-07-01T07:45:00+02:00;15,4035;0,16806
2024-07-01T08:00:00+02:00;15,4645;0,146
2024-07-01T08:15:00+02:00;15,7385;0,146
2024-07-01T08:30:00+02:00;17,748;0,146
2024-07-01T08:45:00+02:00;16,8655;0,146
2024-07-01T09:00:00+02:00;16,77;0,12745
2024-07-01T09:15:00+02:00;15,9065;0,12745
2024-07-01T09:30:00+02:00;14,016;0,12745
2024-07-01T09:45:00+02:00;12,66;0,12745
2024-07-01T10:00:00+02:00;18,1545;0,11032
2024-07-01T10:15:00+02:00;16,812;0,11032
2024-07-01T10:30:00+02:00;13,66;0,11032
2024-07-01T10:45:00+02:00;15,328;0,11032
2024-07-01T11:00:00+02:00;13,1225;0,10691
2024-07-01T11:15:00+02:00;12,495;0,10691
2024-07-01T11:30:00+02:00;16,6965;0,10691
2024-07-01T11:45:00+02:00;17,8925;0,10691
2024-07-01T12:00:00+02:00;15,526;0,08413
2024-07-01T12:15:00+02:00;16,9555;0,08413
2024-07-01T12:30:00+02:00;14,7445;0,08413
2024-07-01T12:45:00+02:00;14,5335;0,08413
2024-07-01T13:00:00+02:00;14,739;0,07598
2024-07-01T13:15:00+02:00;17,3325;0,07598
2024-07-01T13:30:00+02:00;13,5005;0,07598
2024-07-01T13:45:00+02:00;12,573;0,07598
2024-07-01T14:00:00+02:00;14,3575;0,08182
2024-07-01T14:15:00+02:00;10,9305;0,08182
2024-07-01T14:30:00+02:00;9,951;0,08182
2024-07-01T14:45:00+02:00;10,623;0,08182
2024-07-01T15:00:00+02:00;10,0295;0,07972
2024-07-01T15:15:00+02:00;8,9745;0,07972
2024-07-01T15:30:00+02:00;8,8705;0,07972
2024-07-01T15:45:00+02:00;10,2805;0,07972
2024-07-01T16:00:00+02:00;9,367;0,09792
2024-07-01T16:15:00+02:00;10,2115;0,09792
2024-07-01T16:30:00+02:00;8,6335;0,09792
2024-07-01T16:45:00+02:00;9,2815;0,09792
2024-07-01T17:00:00+02:00;10,615;0,11864
2024-07-01T17:15:00+02:00;8,4645;0,11864
2024-07-01T17:30:00+02:00;9,317;0,11864
2024-07-01T17:45:00+02:00;9,608;0,11864
2024-07-01T18:00:00+02:00;8,765;0,19361
2024-07-01T18:15:00+02:00;10,6485;0,19361
2024-07-01T18:30:00+02:00;8,6095;0,19361
2024-07-01T18:45:00+02:00;9,2455;0,19361
2024-07-01T19:00:00+02:00;9,787;0,17151
2024-07-01T19:15:00+02:00;8,3535;0,17151
2024-07-01T19:30:00+02:00;9,037;0,17151
2024-07-01T19:45:00+02:00;8,1425;0,17151
2024-07-01T20:00:00+02:00;6,856;0,3839
2024-07-01T20:15:00+02:00;9,0255;0,3839
2024-07-01T20:30:00+02:00;6,8575;0,3839
2024-07-01T20:45:00+02:00;7,2115;0,3839
2024-07-01T21:00:00+02:00;9,2175;0,17632
2024-07-01T21:15:00+02:00;7,2585;0,17632
2024-07-01T21:30:00+02:00;8,048;0,17632
2024-07-01T21:45:00+02:00;8,4105;0,17632
2024-07-01T22:00:00+02:00;6,752;0,12955
2024-07-01T22:15:00+02:00;6,767;0,12955
2024-07-01T22:30:00+02:00;8,064;0,12955
2024-07-01T22:45:00+02:00;6,952;0,12955
2024-07-01T23:00:00+02:00;6,7225;0,10586
2024-07-01T23:15:00+02:00;7,17;0,10586
2024-07-01T23:30:00+02:00;8,3895;0,10586
2024-07-01T23:45:00+02:00;6,559;0,10586
2024-07-02T00:00:00+02:00;5,9491;0,08199
2024-07-02T00:15:00+02:00;7,2971;0,08199
2024-07-02T00:30:00+02:00;6,1776;0,08199
2024-07-02T00:45:00+02:00;5,9391;0,08199
2024-07-02T01:00:00+02:00;5,9856;0,07884
2024-07-02T01:15:00+02:00;7,3041;0,07884
2024-07-02T01:30:00+02:00;6,2266;0,07884
2024-07-02T01:45:00+02:00;6,1316;0,07884
2024-07-02T02:00:00+02:00;7,3886;0,07763
2024-07-02T02:15:00+02:00;6,5381;0,07763
2024-07-02T02:30:00+02:00;6,1586;0,07763
2024-07-02T02:45:00+02:00;6,1626;0,07763
2024-07-02T03:00:00+02:00;7,5741;0,0775
2024-07-02T03:15:00+02:00;6,1671;0,0775
2024-07-02T03:30:00+02:00;6,0661;0,0775
2024-07-02T03:45:00+02:00;6,2196;0,0775
2024-07-02T04:00:00+02:00;7,3891;0,07922
2024-07-02T04:15:00+02:00;6,3136;0,07922
2024-07-02T04:30:00+02:00;6,2341;0,07922
2024-07-02T04:45:00+02:00;6,7651;0,07922
2024-07-02T05:00:00+02:00;7,0081;0,0785
2024-07-02T05:15:00+02:00;5,6911;0,0785
2024-07-02T05:30:00+02:00;5,5326;0,0785
2024-07-02T05:45:00+02:00;6,4631;0,0785
2024-07-02T06:00:00+02:00;7,1971;0,10646
2024-07-02T06:15:00+02:00;6,6276;0,10646
2024-07-02T06:30:00+02:00;6,3666;0,10646
2024-07-02T06:45:00+02:00;10,0666;0,10646
2024-07-02T07:00:00+02:00;8,7956;0,10251
2024-07-02T07:15:00+02:00;8,1896;0,10251
2024-07-02T07:30:00+02:00;8,0951;0,10251
2024-07-02T07:45:00+02:00;10,2136;0,10251
2024-07-02T08:00:00+02:00;8,7886;0,12
2024-07-02T08:15:00+02:00;9,4001;0,12
2024-07-02T08:30:00+02:00;10,7511;0,12
2024-07-02T08:45:00+02:00;11,8911;0,12
2024-07-02T09:00:00+02:00;11,0931;0,10713
2024-07-02T09:15:00+02:00;15,3061;0,10713
2024-07-02T09:30:00+02:00;18,0056;0,10713
2024-07-02T09:45:00+02:00;13,2076;0,10713
2024-07-02T10:00:00+02:00;13,1201;0,10213
2024-07-02T10:15:00+02:00;17,5031;0,10213
2024-07-02T10:30:00+02:00;17,0966;0,10213
2024-07-02T10:45:00+02:00;17,2291;0,10213
2024-07-02T11:00:00+02:00;18,7006;0,09723
2024-07-02T11:15:00+02:00;18,1741;0,09723
2024-07-02T11:30:00+02:00;13,7076;0,09723
2024-07-02T11:45:00+02:00;13,0716;0,09723
2024-07-02T12:00:00+02:00;14,6931;0,08995
2024-07-02T12:15:00+02:00;12,1806;0,08995
2024-07-02T12:30:00+02:00;12,3421;0,08995
2024-07-02T12:45:00+02:00;15,9276;0,08995
2024-07-02T13:00:00+02:00;13,2696;0,07287
2024-07-02T13:15:00+02:00;12,4561;0,07287
2024-07-02T13:30:00+02:00;12,8726;0,07287
2024-07-02T13:45:00+02:00;11,2866;0,07287
2024-07-02T14:00:00+02:00;9,6711;0,06505
2024-07-02T14:15:00+02:00;10,1076;0,06505
2024-07-02T14:30:00+02:00;9,0881;0,06505
2024-07-02T14:45:00+02:00;7,6241;0,06505
2024-07-02T15:00:00+02:00;8,6696;0,07118
2024-07-02T15:15:00+02:00;9,7911;0,07118
2024-07-02T15:30:00+02:00;8,9896;0,07118
2024-07-02T15:45:00+02:00;9,2871;0,07118
2024-07-02T16:00:00+02:00;9,2296;0,07969
2024-07-02T16:15:00+02:00;7,5771;0,07969
2024-07-02T16:30:00+02:00;7,4446;0,07969
2024-07-02T16:45:00+02:00;7,5736;0,07969
2024-07-02T17:00:00+02:00;7,3261;0,0828
2024-07-02T17:15:00+02:00;7,6776;0,0828
2024-07-02T17:30:00+02:00;9,7841;0,0828
2024-07-02T17:45:00+02:00;7,7561;0,0828
2024-07-02T18:00:00+02:00;8,7776;0,10781
2024-07-02T18:15:00+02:00;8,7456;0,10781
2024-07-02T18:30:00+02:00;7,6211;0,10781
2024-07-02T18:45:00+02:00;9,5086;0,10781
2024-07-02T19:00:00+02:00;6,8586;0,13015
2024-07-02T19:15:00+02:00;7,2321;0,13015
2024-07-02T19:30:00+02:00;6,7516;0,13015
2024-07-02T19:45:00+02:00;6,7926;0,13015
2024-07-02T20:00:00+02:00;8,1886;0,14408
2024-07-02T20:15:00+02:00;6,0531;0,14408
2024-07-02T20:30:00+02:00;7,1126;0,14408
2024-07-02T20:45:00+02:00;7,4331;0,14408
2024-07-02T21:00:00+02:00;6,4581;0,12019
2024-07-02T21:15:00+02:00;6,6776;0,12019
2024-07-02T21:30:00+02:00;6,8031;0,12019
2024-07-02T21:45:00+02:00;6,7821;0,12019
2024-07-02T22:00:00+02:00;6,5046;0,11227
2024-07-02T22:15:00+02:00;7,1621;0,11227
2024-07-02T22:30:00+02:00;6,2771;0,11227
2024-07-02T22:45:00+02:00;6,1486;0,11227
2024-07-02T23:00:00+02:00;7,6146;0,08947
2024-07-02T23:15:00+02:00;6,2641;0,08947
2024-07-02T23:30:00+02:00;6,1291;0,08947
2024-07-02T23:45:00+02:00;6,1821;0,08947
2024-07-03T00:00:00+02:00;7,7222;0,07662
2024-07-03T00:15:00+02:00;6,1442;0,07662
2024-07-03T00:30:00+02:00;6,1227;0,07662
2024-07-03T00:45:00+02:00;7,1197;0,07662
2024-07-03T01:00:00+02:00;7,3282;0,07418
2024-07-03T01:15:00+02:00;6,2497;0,07418
2024-07-03T01:30:00+02:00;6,5347;0,07418
2024-07-03T01:45:00+02:00;7,4347;0,07418
2024-07-03T02:00:00+02:00;7,1342;0,07047
2024-07-03T02:15:00+02:00;6,3162;0,07047
2024-07-03T02:30:00+02:00;6,5762;0,07047
2024-07-03T02:45:00+02:00;7,5272;0,07047
2024-07-03T03:00:00+02:00;6,9687;0,07063
2024-07-03T03:15:00+02:00;6,1257;0,07063
2024-07-03T03:30:00+02:00;6,5302;0,07063
2024-07-03T03:45:00+02:00;7,4442;0,07063
2024-07-03T04:00:00+02:00;7,4822;0,07157
2024-07-03T04:15:00+02:00;6,2732;0,07157
2024-07-03T04:30:00+02:00;6,4912;0,07157
2024-07-03T04:45:00+02:00;6,7227;0,07157
2024-07-03T05:00:00+02:00;7,3982;0,07728
2024-07-03T05:15:00+02:00;5,8767;0,07728
2024-07-03T05:30:00+02:00;5,9182;0,07728
2024-07-03T05:45:00+02:00;5,8547;0,07728
2024-07-03T06:00:00+02:00;8,8942;0,11043
2024-07-03T06:15:00+02:00;6,9502;0,11043
2024-07-03T06:30:00+02:00;11,3887;0,11043
2024-07-03T06:45:00+02:00;12,3352;0,11043
2024-07-03T07:00:00+02:00;11,6557;0,12129
2024-07-03T07:15:00+02:00;10,1042;0,12129
2024-07-03T07:30:00+02:00;8,9667;0,12129
2024-07-03T07:45:00+02:00;11,6817;0,12129
2024-07-03T08:00:00+02:00;11,1482;0,13354
2024-07-03T08:15:00+02:00;11,7447;0,13354
2024-07-03T08:30:00+02:00;11,6977;0,13354
2024-07-03T08:45:00+02:00;11,8162;0,13354
2024-07-03T09:00:00+02:00;13,0082;0,09162
2024-07-03T09:15:00+02:00;10,7397;0,09162
2024-07-03T09:30:00+02:00;11,1822;0,09162
2024-07-03T09:45:00+02:00;11,3332;0,09162
2024-07-03T10:00:00+02:00;13,2297;0,07271
2024-07-03T10:15:00+02:00;11,8737;0,07271
2024-07-03T10:30:00+02:00;10,8727;0,07271
2024-07-03T10:45:00+02:00;13,8402;0,07271
2024-07-03T11:00:00+02:00;13,4127;0,06723
2024-07-03T11:15:00+02:00;12,8847;0,06723
2024-07-03T11:30:00+02:00;11,3602;0,06723
2024-07-03T11:45:00+02:00;14,1167;0,06723
2024-07-03T12:00:00+02:00;11,7747;0,09926
2024-07-03T12:15:00+02:00;9,5962;0,09926
2024-07-03T12:30:00+02:00;11,7392;0,09926
2024-07-03T12:45:00+02:00;11,4392;0,09926
2024-07-03T13:00:00+02:00;10,4457;0,098
2024-07-03T13:15:00+02:00;11,2627;0,098
2024-07-03T13:30:00+02:00;10,8212;0,098
2024-07-03T13:45:00+02:00;8,8102;0,098
2024-07-03T14:00:00+02:00;8,0337;0,1
2024-07-03T14:15:00+02:00;8,6517;0,1
2024-07-03T14:30:00+02:00;6,8757;0,1
2024-07-03T14:45:00+02:00;6,5407;0,1
2024-07-03T15:00:00+02:00;7,8222;0,10224
2024-07-03T15:15:00+02:00;6,8837;0,10224
2024-07-03T15:30:00+02:00;6,4402;0,10224
2024-07-03T15:45:00+02:00;7,3042;0,10224
2024-07-03T16:00:00+02:00;7,5547;0,10228
2024-07-03T16:15:00+02:00;6,6262;0,10228
2024-07-03T16:30:00+02:00;8,2542;0,10228
2024-07-03T16:45:00+02:00;6,5007;0,10228
2024-07-03T17:00:00+02:00;6,3012;0,10632
2024-07-03T17:15:00+02:00;6,4082;0,10632
2024-07-03T17:30:00+02:00;7,9867;0,10632
2024-07-03T17:45:00+02:00;7,0737;0,10632
2024-07-03T18:00:00+02:00;6,9532;0,11384
2024-07-03T18:15:00+02:00;8,2362;0,11384
2024-07-03T18:30:00+02:00;6,3772;0,11384
2024-07-03T18:45:00+02:00;8,0832;0,11384
2024-07-03T19:00:00+02:00;6,6447;0,14192
2024-07-03T19:15:00+02:00;7,1797;0,14192
2024-07-03T19:30:00+02:00;7,7007;0,14192
2024-07-03T19:45:00+02:00;6,2127;0,14192
2024-07-03T20:00:00+02:00;8,2842;0,19371
2024-07-03T20:15:00+02:00;6,4087;0,19371
2024-07-03T20:30:00+02:00;6,3437;0,19371
2024-07-03T20:45:00+02:00;6,3362;0,19371
2024-07-03T21:00:00+02:00;6,0097;0,12014
2024-07-03T21:15:00+02:00;8,7947;0,12014
2024-07-03T21:30:00+02:00;6,6697;0,12014
2024-07-03T21:45:00+02:00;7,2392;0,12014
2024-07-03T22:00:00+02:00;6,9652;0,10483
2024-07-03T22:15:00+02:00;5,8292;0,10483
2024-07-03T22:30:00+02:00;6,2377;0,10483
2024-07-03T22:45:00+02:00;7,5392;0,10483
2024-07-03T23:00:00+02:00;5,8967;0,07745
2024-07-03T23:15:00+02:00;5,7127;0,07745
2024-07-03T23:30:00+02:00;7,0752;0,07745
2024-07-03T23:45:00+02:00;6,6057;0,07745
2024-07-04T00:00:00+02:00;6,0865;0,07375
2024-07-04T00:15:00+02:00;5,6295;0,07375
2024-07-04T00:30:00+02:00;7,345;0,07375
2024-07-04T00:45:00+02:00;5,8255;0,07375
2024-07-04T01:00:00+02:00;5,981;0,06399
2024-07-04T01:15:00+02:00;7,422;0,06399
2024-07-04T01:30:00+02:00;7,013;0,06399
2024-07-04T01:45:00+02:00;6,2235;0,06399
2024-07-04T02:00:00+02:00;6,162;0,05525
2024-07-04T02:15:00+02:00;7,283;0,05525
2024-07-04T02:30:00+02:00;6,1065;0,05525
2024-07-04T02:45:00+02:00;6,2875;0,05525
2024-07-04T03:00:00+02:00;6,698;0,04671
