2024-08-02T16;0;00+02;0;2;83;0;14
2024-08-02T16;15;00+02;0;2;67;0;12
2024-08-02T16;30;00+02;0;3;12;0;18
2024-08-02T16;45;00+02;0;2;94;0;16
2024-08-02T17;0;00+02;0;2;75;0;13
2024-08-02T17;15;00+02;0;3;1;0;15
2024-08-02T17;30;00+02;0;2;58;0;11
2024-08-02T17;45;00+02;0;2;96;0;17
2024-08-02T18;0;00+02;0;2;71;0;14
2024-08-02T18;15;00+02;0;3;22;0;19
2024-08-02T18;30;00+02;0;2;63;0;12
2024-08-02T18;45;00+02;0;2;89;0;16
2024-08-02T19;0;00+02;0;3;5;0;18
2024-08-02T19;15;00+02;0;2;77;0;13
2024-08-02T19;30;00+02;0;2;91;0;15
2024-08-02T19;45;00+02;0;3;18;0;2
2024-08-02T20;0;00+02;0;2;66;0;11
2024-08-02T20;15;00+02;0;2;84;0;14
2024-08-02T20;30;00+02;0;3;9;0;17
2024-08-02T20;45;00+02;0;2;73;0;13
